epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,755.44,0.93938,2.50207,1.45182,0.2647,0.47783,0.30677,0.1831,1.34779,5.82585,2.19598,0.00024293,0.00024293,0.00024293
2,2397.65,0.90058,1.54664,1.38212,0.26751,0.24713,0.24257,0.10511,1.88293,22.3724,2.98278,0.000483645,0.000483645,0.000483645
3,2854.26,1.07506,1.46379,1.4796,0.00011,0.01235,7e-05,2e-05,4.28383,inf,17.8442,0.000707384,0.000707384,0.000707384
4,2884.27,1.1124,1.44261,1.55701,0.02876,0.0901,0.02005,0.00808,4.1639,inf,23.6718,0.000914146,0.000914146,0.000914146
5,2908.13,1.08674,1.34589,1.49665,0.0035,0.11235,0.00219,0.00081,4.55455,inf,140.574,0.00110393,0.00110393,0.00110393
6,2930.05,1.0854,1.35978,1.49312,0.0274,0.0535,0.01214,0.00379,3.78384,8.6916,5.13779,0.00119322,0.00119322,0.00119322
7,2955.88,1.02428,1.22346,1.43921,0.09425,0.27524,0.12156,0.04885,2.62972,5.70776,4.09641,0.00114606,0.00114606,0.00114606
8,2985.84,1.05408,1.17057,1.48756,0.17264,0.24063,0.12699,0.04769,2.62449,6.1319,3.82333,0.0010989,0.0010989,0.0010989
9,3558.19,1.00081,1.12898,1.43839,0.65834,0.23695,0.24079,0.13089,2.44245,4.0804,3.39893,0.00105174,0.00105174,0.00105174
10,3661.95,0.96451,1.11458,1.38906,0.39121,0.37848,0.37757,0.26745,1.70136,4.39271,2.35874,0.00100459,0.00100459,0.00100459
11,3678.81,0.89081,1.06969,1.36017,0.47373,0.46203,0.50955,0.33746,1.31257,2.37384,1.93511,0.00095743,0.00095743,0.00095743
12,4872.68,0.94071,1.04927,1.37045,0.84744,0.44336,0.52091,0.34743,1.32925,1.73012,2.08715,0.000910273,0.000910273,0.000910273
13,4922.47,0.91409,1.067,1.3638,0.78775,0.52136,0.56053,0.40909,1.20337,1.37429,1.86466,0.000863116,0.000863116,0.000863116
14,4957.72,0.85326,0.98981,1.31965,0.82613,0.4637,0.51941,0.39324,1.03211,1.40206,1.73721,0.000815959,0.000815959,0.000815959
15,4979.54,0.78996,0.88885,1.27015,0.81171,0.50872,0.55044,0.42903,1.03482,1.32614,1.7218,0.000768802,0.000768802,0.000768802
16,5006.23,0.84885,0.92928,1.3479,0.89197,0.47411,0.57672,0.40744,1.19718,1.26377,1.9562,0.000721645,0.000721645,0.000721645
17,5461.45,0.85577,1.06129,1.33865,0.87634,0.54819,0.59777,0.46353,0.96851,1.0115,1.64426,0.000674488,0.000674488,0.000674488
18,5488.89,0.81148,0.92268,1.29898,0.86844,0.56097,0.61467,0.48674,0.91269,1.02873,1.62768,0.000627331,0.000627331,0.000627331
19,5531.71,0.74645,0.86053,1.25765,0.90558,0.5248,0.60149,0.47402,0.86948,0.9132,1.50042,0.000580174,0.000580174,0.000580174
20,5572.18,0.7541,0.80379,1.22508,0.90787,0.56985,0.61848,0.50149,0.83603,0.82351,1.45255,0.000533017,0.000533017,0.000533017
21,6104.6,0.69682,0.92194,1.26294,0.8625,0.58901,0.6066,0.48235,0.92923,0.91828,1.49587,0.00048586,0.00048586,0.00048586
22,6342.32,0.59338,0.73075,1.18989,0.85683,0.55231,0.60238,0.47449,0.88152,0.88973,1.49327,0.000438703,0.000438703,0.000438703
23,6467.08,0.61704,0.6931,1.21912,0.49119,0.81033,0.61015,0.45751,0.96252,0.9492,1.57131,0.000391546,0.000391546,0.000391546
24,7173.86,0.64153,0.75835,1.22236,0.90665,0.57566,0.64058,0.51636,0.81483,0.86825,1.39524,0.000344389,0.000344389,0.000344389
25,7412.51,0.65662,0.70609,1.24964,0.87893,0.61793,0.6687,0.55389,0.74509,0.71868,1.3556,0.000297232,0.000297232,0.000297232
26,7440.72,0.55751,0.64857,1.11109,0.92101,0.58549,0.65078,0.53952,0.74467,0.70221,1.32392,0.000250075,0.000250075,0.000250075
27,8241.47,0.72678,0.6948,1.31594,0.52585,0.84715,0.63821,0.53341,0.77209,0.70971,1.37231,0.000202918,0.000202918,0.000202918
28,8278.13,0.59755,0.62686,1.15197,0.50914,0.8097,0.64231,0.54731,0.7194,0.68887,1.33589,0.000155761,0.000155761,0.000155761
29,8300.65,0.5109,0.57936,1.12093,0.92796,0.57986,0.64813,0.55671,0.6908,0.65262,1.28739,0.000108604,0.000108604,0.000108604
30,8329.16,0.47771,0.54911,1.10304,0.93079,0.57158,0.64383,0.55049,0.70609,0.65912,1.29768,6.1447e-05,6.1447e-05,6.1447e-05
